selected_path,relative_path,collection_folder,scale_family,style,pattern_label,surface_label,mood_tags,key_folder,key_index,major_key,minor_key,normalized_group_id
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Major/IV - F.mid,01 - C Major - A minor/1 Triad/Major/IV - F.mid,1 Triad,Major,straight,IV,F,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Major|IV|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Major/IV - Cb.mid,07 - Gb Major - Eb minor/1 Triad/Major/IV - Cb.mid,1 Triad,Major,straight,IV,Cb,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Major|IV|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Major/IV - E.mid,12 - B Major - G# minor/1 Triad/Major/IV - E.mid,1 Triad,Major,straight,IV,E,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Major|IV|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Major/I - C.mid,01 - C Major - A minor/1 Triad/Major/I - C.mid,1 Triad,Major,straight,I,C,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Major|I|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Major/I - Gb.mid,07 - Gb Major - Eb minor/1 Triad/Major/I - Gb.mid,1 Triad,Major,straight,I,Gb,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Major|I|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Major/I - B.mid,12 - B Major - G# minor/1 Triad/Major/I - B.mid,1 Triad,Major,straight,I,B,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Major|I|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Major/V - G.mid,01 - C Major - A minor/1 Triad/Major/V - G.mid,1 Triad,Major,straight,V,G,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Major|V|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Major/V - Db.mid,07 - Gb Major - Eb minor/1 Triad/Major/V - Db.mid,1 Triad,Major,straight,V,Db,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Major|V|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Major/V - F#.mid,12 - B Major - G# minor/1 Triad/Major/V - F#.mid,1 Triad,Major,straight,V,F#,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Major|V|maj
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Major/iii - Em.mid,01 - C Major - A minor/1 Triad/Major/iii - Em.mid,1 Triad,Major,straight,iii,Em,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Major|iii|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Major/iii - Bbm.mid,07 - Gb Major - Eb minor/1 Triad/Major/iii - Bbm.mid,1 Triad,Major,straight,iii,Bbm,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Major|iii|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/12 - B Major - G# minor/1 Triad/Major/iii - D#m.mid,12 - B Major - G# minor/1 Triad/Major/iii - D#m.mid,1 Triad,Major,straight,iii,D#m,,12 - B Major - G# minor,12,B Major,G# minor,chord|1 Triad|Major|iii|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/01 - C Major - A minor/1 Triad/Major/ii - Dm.mid,01 - C Major - A minor/1 Triad/Major/ii - Dm.mid,1 Triad,Major,straight,ii,Dm,,01 - C Major - A minor,1,C Major,A minor,chord|1 Triad|Major|ii|m
/Users/ashishbamba/Instrument-Transposition/datasets/inputs/free_midi_subset/07 - Gb Major - Eb minor/1 Triad/Major/ii - Abm.mid,07 - Gb Major - Eb minor/1 Triad/Major/ii - Abm.mid,1 Triad,Major,straight,ii,Abm,,07 - Gb Major - Eb minor,7,Gb Major,Eb minor,chord|1 Triad|Major|ii|m
